entryID, flight ID, Destination, Destination_IATA, Continent, Country, Time, Status, Price, Distance, Emissions, TaxCuts 
0,6F1715,Malaga,AGP,Europe,ES,2018-04-25T03:30:00Z,Deleted,,2992.0,529.584,1536.7392857142854
1,D8218,Berlin SXF,SXF,Europe,DE,2018-04-25T05:40:00Z,Deleted,,823.0,145.671,422.70602678571424
2,LG5782,Luxembourg,LUX,Europe,LU,2018-04-25T12:15:00Z,Deleted,,1306.0,231.16199999999998,670.7825892857142
3,IK328,TRENTO MATTTARE,ZIA,other,LU,2018-04-25T08:40:00Z,Scheduled,,0.0,0.0,0.0
4,MV521,Athens,ATH,Europe,GR,2018-04-25T11:10:00Z,Scheduled,,2411.0,426.74699999999996,1238.3283482142856
5,EZY5884,Berlin SXF,SXF,Europe,DE,2018-04-25T11:45:00Z,Scheduled,,823.0,145.671,422.70602678571424
6,KK2302,Istanbul IST,IST,Europe,TR,2018-04-25T12:45:00Z,Scheduled,,2177.0,385.329,1118.1421874999999
7,B2856,Minsk,MSQ,Europe,BY,2018-04-25T08:25:00Z,Scheduled,,838.0,148.326,430.41026785714286
8,ASE013,Trollhattan,THN,Europe,SE,2018-04-25T17:15:00Z,Cancelled,,352.0,90.464,262.5071428571428
9,LH803,Frankfurt,FRA,Europe,DE,2018-04-25T11:10:00Z,Scheduled,,1188.0,210.27599999999998,610.1758928571428
10,EW371,Cologne,CGN,Europe,DE,2018-04-25T13:25:00Z,Scheduled,,1168.0,206.736,599.9035714285714
11,LH2417,Munich,MUC,Europe,DE,2018-04-25T13:25:00Z,Scheduled,,1316.0,232.932,675.9187499999999
12,LH807,Frankfurt,FRA,Europe,DE,2018-04-25T14:35:00Z,Scheduled,,1188.0,210.27599999999998,610.1758928571428
13,OS314,Vienna,VIE,Europe,AT,2018-04-25T14:55:00Z,Scheduled,,1243.0,220.011,638.4247767857142
14,LH805,Frankfurt,FRA,Europe,DE,2018-04-25T16:50:00Z,Scheduled,,1188.0,210.27599999999998,610.1758928571428
15,OS316,Vienna,VIE,Europe,AT,2018-04-25T16:25:00Z,Scheduled,,1243.0,220.011,638.4247767857142
16,LH2419,Munich,MUC,Europe,DE,2018-04-25T16:40:00Z,Scheduled,,1316.0,232.932,675.9187499999999
17,CA912,Beijing,PEK,Asia,CN,2018-04-25T17:10:00Z,Scheduled,,6718.0,1189.086,3450.472767857142
18,LO458,Warsaw,WAW,Europe,PL,2018-04-25T17:30:00Z,Scheduled,,812.0,143.724,417.05625
19,LO8126,Tallinn,TLL,Europe,EE,2018-04-25T16:45:00Z,Scheduled,,379.0,97.403,282.6426339285714
20,QR172,Doha,DOH,Asia,QA,2018-04-25T20:40:00Z,Scheduled,,4590.0,812.43,2357.497767857142
21,LO8120,Tallinn,TLL,Europe,EE,2018-04-25T20:25:00Z,Scheduled,,379.0,97.403,282.6426339285714
22,EW7219,Hamburg,HAM,Europe,DE,2018-04-25T18:50:00Z,Scheduled,,812.0,143.724,417.05625
23,LX1255,Zurich,ZRH,Europe,CH,2018-04-25T17:35:00Z,Scheduled,,1471.0,260.36699999999996,755.5292410714284
24,LX1251,Zurich,ZRH,Europe,CH,2018-04-25T13:15:00Z,Scheduled,,1471.0,260.36699999999996,755.5292410714284
25,EW9213,Dusseldorf,DUS,Europe,DE,2018-04-25T18:00:00Z,Scheduled,,1149.0,203.373,590.1448660714285
26,SK409,Copenhagen,CPH,Europe,DK,2018-04-25T16:05:00Z,Scheduled,,523.0,92.571,268.62120535714286
27,SK499,Oslo,OSL,Europe,NO,2018-04-25T14:45:00Z,Scheduled,,417.0,107.169,310.98147321428564
28,SK883,Oslo,OSL,Europe,NO,2018-04-25T17:25:00Z,Scheduled,,417.0,107.169,310.98147321428564
29,SK885,Oslo,OSL,Europe,NO,2018-04-25T15:35:00Z,Scheduled,,417.0,107.169,310.98147321428564
30,SK897,Oslo,OSL,Europe,NO,2018-04-25T19:10:00Z,Scheduled,,417.0,107.169,310.98147321428564
31,SK1409,Copenhagen,CPH,Europe,DK,2018-04-25T17:00:00Z,Scheduled,,523.0,92.571,268.62120535714286
32,SK1527,London LHR,LHR,Europe,GB,2018-04-25T17:40:00Z,Scheduled,,1454.0,257.358,746.7977678571428
33,SK4226,Vaasa,VAA,Europe,FI,2018-04-25T16:10:00Z,Scheduled,,460.0,118.22,343.0491071428571
34,SK4899,Bergen,BGO,Europe,NO,2018-04-25T20:00:00Z,Scheduled,,721.0,127.61699999999999,370.31718749999993
35,WW943,Reykjavik,KEF,other,IS,2018-04-25T10:35:00Z,Scheduled,,2135.0,377.895,1096.5703124999998
36,AF1263,Paris CDG,CDG,Europe,FR,2018-04-25T10:40:00Z,Scheduled,,1523.0,269.57099999999997,782.2372767857141
37,AY808,Helsinki,HEL,Europe,FI,2018-04-25T10:55:00Z,Scheduled,,397.0,102.029,296.0662946428571
38,EZY2650,Milan MXP,MXP,Europe,IT,2018-04-25T11:00:00Z,Scheduled,,1648.0,291.69599999999997,846.4392857142855
39,BA775,London LHR,LHR,Europe,GB,2018-04-25T11:30:00Z,Scheduled,,1454.0,257.358,746.7977678571428
40,KL1110,Amsterdam,AMS,Europe,NL,2018-04-25T11:40:00Z,Scheduled,,1127.0,199.47899999999998,578.8453124999999
41,AY810,Helsinki,HEL,Europe,FI,2018-04-25T12:35:00Z,Scheduled,,397.0,102.029,296.0662946428571
42,IB3315,Madrid,MAD,Europe,ES,2018-04-25T12:45:00Z,Scheduled,,2596.0,459.49199999999996,1333.3473214285711
43,EZS1574,Geneva,GVA,Europe,CH,2018-04-25T13:30:00Z,Scheduled,,1663.0,294.351,854.1435267857142
44,EZY5886,Berlin TXL,TXL,Europe,DE,2018-04-25T13:40:00Z,Scheduled,,810.0,143.37,416.0290178571428
45,BA779,London LHR,LHR,Europe,GB,2018-04-25T13:45:00Z,Scheduled,,1454.0,257.358,746.7977678571428
46,AY814,Helsinki,HEL,Europe,FI,2018-04-25T14:35:00Z,Scheduled,,397.0,102.029,296.0662946428571
47,KL1116,Amsterdam,AMS,Europe,NL,2018-04-25T15:30:00Z,Scheduled,,1127.0,199.47899999999998,578.8453124999999
48,AY816,Helsinki,HEL,Europe,FI,2018-04-25T16:05:00Z,Scheduled,,397.0,102.029,296.0662946428571
49,BA781,London LHR,LHR,Europe,GB,2018-04-25T16:05:00Z,Scheduled,,1454.0,257.358,746.7977678571428
50,TK1796,Istanbul IST,IST,Europe,TR,2018-04-25T16:15:00Z,Scheduled,,2177.0,385.329,1118.1421874999999
51,EZY5888,Berlin TXL,TXL,Europe,DE,2018-04-25T17:00:00Z,Scheduled,,810.0,143.37,416.0290178571428
52,AF1063,Paris CDG,CDG,Europe,FR,2018-04-25T17:40:00Z,Scheduled,,1523.0,269.57099999999997,782.2372767857141
53,KL1118,Amsterdam,AMS,Europe,NL,2018-04-25T18:20:00Z,Scheduled,,1127.0,199.47899999999998,578.8453124999999
54,SU2387,Moscow,SVO,Europe,RU,2018-04-25T18:20:00Z,Scheduled,,1229.0,217.533,631.2341517857142
55,AY820,Helsinki,HEL,Europe,FI,2018-04-25T19:00:00Z,Scheduled,,397.0,102.029,296.0662946428571
56,BA783,London LHR,LHR,Europe,GB,2018-04-25T19:20:00Z,Scheduled,,1454.0,257.358,746.7977678571428
57,EZY2452,London LTN,LTN,other,GB,2018-04-25T19:30:00Z,Scheduled,,0.0,0.0,0.0
58,ET715,Addis Abeba,ADD,Africa,ET,2018-04-25T19:50:00Z,Scheduled,,5871.0,1039.167,3015.4399553571425
59,PS172,Kiev,KBP,Europe,UA,2018-04-25T11:45:00Z,Scheduled,,1266.0,224.082,650.2379464285714
60,JU415,Belgrade,BEG,Europe,RS,2018-04-25T18:25:00Z,Scheduled,,1624.0,287.448,834.1125
61,AF1463,Paris CDG,CDG,Europe,FR,2018-04-25T04:05:00Z,Cancelled,,1523.0,269.57099999999997,782.2372767857141
62,D82853,London LGW,LGW,Europe,GB,2018-04-25T12:10:00Z,Scheduled,,1465.0,259.305,752.4475446428571
63,D83209,Copenhagen,CPH,Europe,DK,2018-04-25T13:30:00Z,Scheduled,,523.0,92.571,268.62120535714286
64,D85903,Gran Canaria,LPA,other,DK,2018-04-25T17:00:00Z,Scheduled,,0.0,0.0,0.0
65,D82859,London LGW,LGW,Europe,GB,2018-04-25T19:00:00Z,Scheduled,,1465.0,259.305,752.4475446428571
66,DY813,Oslo,OSL,Europe,NO,2018-04-25T11:20:00Z,Scheduled,,417.0,107.169,310.98147321428564
67,DY817,Oslo,OSL,Europe,NO,2018-04-25T14:30:00Z,Scheduled,,417.0,107.169,310.98147321428564
68,DY823,Oslo,OSL,Europe,NO,2018-04-25T17:30:00Z,Scheduled,,417.0,107.169,310.98147321428564
69,D85555,Barcelona,BCN,Europe,ES,2018-04-25T17:10:00Z,Scheduled,,2281.0,403.73699999999997,1171.5582589285714
70,D86093,Madrid,MAD,Europe,ES,2018-04-25T17:20:00Z,Scheduled,,2596.0,459.49199999999996,1333.3473214285711
71,D81003,Rome FCO,FCO,Europe,IT,2018-04-25T18:10:00Z,Scheduled,,1993.0,352.76099999999997,1023.6368303571427
72,D85053,Malaga,AGP,Europe,ES,2018-04-25T17:20:00Z,Scheduled,,2992.0,529.584,1536.7392857142854
73,DY4253,Barcelona,BCN,Europe,ES,2018-04-25T13:50:00Z,Scheduled,,2281.0,403.73699999999997,1171.5582589285714
74,D82857,London LGW,LGW,Europe,GB,2018-04-25T15:40:00Z,Scheduled,,1465.0,259.305,752.4475446428571
75,DY4171,Copenhagen,CPH,Europe,DK,2018-04-25T18:40:00Z,Scheduled,,523.0,92.571,268.62120535714286
76,DY4531,Amsterdam,AMS,Europe,NL,2018-04-25T16:40:00Z,Scheduled,,1127.0,199.47899999999998,578.8453124999999
77,D83213,Copenhagen,CPH,Europe,DK,2018-04-25T16:50:00Z,Scheduled,,523.0,92.571,268.62120535714286
78,D85353,Alicante,ALC,Europe,ES,2018-04-25T18:00:00Z,Scheduled,,2682.0,474.714,1377.5183035714283
79,SK716,Helsinki,HEL,Europe,FI,2018-04-25T13:25:00Z,Scheduled,,397.0,102.029,296.0662946428571
80,SK491,Oslo,OSL,Europe,NO,2018-04-25T13:40:00Z,Scheduled,,417.0,107.169,310.98147321428564
81,SK722,Helsinki,HEL,Europe,FI,2018-04-25T16:30:00Z,Scheduled,,397.0,102.029,296.0662946428571
